nst,magError,magNst,longitude,gap,time,type,updated,id,place,latitude,mag,magSource,net,magType,horizontalError,status,depthError,locationSource,dmin,rms,depth
,0.145,13,115.6321,129,2016-02-08T15:19:46.580Z,earthquake,2016-02-09T02:46:31.176Z,us20004yqq,"2km E of Tistagede, Indonesia",-8.3819,4.1,us,us,mb,8.9,reviewed,7.1,us,1.466,0.85,24.03
,,,-153.0709,,2016-02-08T15:11:29.000Z,earthquake,2016-02-17T02:07:27.666Z,ak12788425,"69km W of Anchor Point, Alaska",59.7822,3.6,ak,ak,ml,0.3,reviewed,0.3,ak,,0.69,98.1
,,,-98.6918,102,2016-02-08T14:34:13.700Z,earthquake,2016-02-08T20:10:21.450Z,us20004yqh,"27km NW of Fairview, Oklahoma",36.446,2.9,tul,us,ml,2.7,reviewed,7,tul,,0.47,7.188
93,0.224,26,-116.4748333,29,2016-02-08T12:47:46.030Z,earthquake,2016-02-08T23:19:30.690Z,ci37521656,"19km ESE of Anza, California",33.5188333,2.5,ci,ci,ml,0.12,reviewed,0.26,ci,0.0413,0.17,8.58
,0.153,13,-71.9252,186,2016-02-08T12:13:19.630Z,earthquake,2016-02-08T20:15:57.921Z,us20004yq6,"75km WNW of La Ligua, Chile",-32.1033,4.7,us,us,mb,5.3,reviewed,5.9,us,0.948,0.89,22.34
,0.091,38,168.5603,78,2016-02-08T12:05:55.020Z,earthquake,2016-02-08T20:08:43.146Z,us20004yq4,"81km WNW of Isangel, Vanuatu",-19.2461,4.9,us,us,mb,8.3,reviewed,7.1,us,2.278,1.12,48.81
5,0,5,-67.581,313.2,2016-02-08T12:01:50.500Z,earthquake,2016-02-08T20:04:20.602Z,pr16039004,"68km NW of San Antonio, Puerto Rico",18.9064,2.7,pr,pr,Md,2.2,reviewed,1.7,pr,0.52731107,0.21,8
3,,,-172.4344,287.999976960002,2016-02-08T10:17:19.000Z,earthquake,2016-02-17T02:07:56.414Z,ak12842954,"55km NW of Lorino, Russia",65.9052,2.6,ak,ak,ml,22.6,reviewed,36.9,ak,,0.36,36.2
,,,-67.339,,2016-02-08T09:43:36.000Z,earthquake,2016-02-09T02:28:04.815Z,us20004yx1,"43km SSW of Nackawic, Canada",45.611,2.7,ott,us,mb_lg,2.8,reviewed,2,ott,,0.55,1
14,,,-156.1598,215.999982720001,2016-02-08T09:40:42.000Z,earthquake,2016-02-17T02:09:47.596Z,ak12842952,"36km SE of King Salmon, Alaska",58.49,2.5,ak,ak,ml,2.1,reviewed,1.9,ak,,0.37,187.3
,0.182,9,-179.7137,228,2016-02-08T09:32:07.650Z,earthquake,2016-02-08T17:34:43.205Z,us20004ypd,"218km ENE of Gisborne, New Zealand",-37.8618,4.6,us,us,mb,9.9,reviewed,2,us,1.598,0.59,10
7,,,-171.7131,226.799981856001,2016-02-08T08:46:17.000Z,earthquake,2016-02-17T02:09:05.518Z,ak12842948,"187km N of Lavrentiya, Russia",67.2426,3.3,ak,ak,ml,12.9,reviewed,10.7,ak,,0.89,17.4
,0.072,50,-97.3268,57,2016-02-08T08:02:12.850Z,earthquake,2016-02-13T17:30:27.076Z,us20004yp5,"3km W of Jones, Oklahoma",35.5623,3.2,us,us,mb_lg,1.9,reviewed,7.4,us,0.02,0.37,7.67
44,,5,-119.9733333,68,2016-02-08T06:20:42.400Z,earthquake,2016-02-14T09:06:21.191Z,ci37521568,"13km N of Simmler, California",35.4643333,3.54,ci,ci,mw,0.36,reviewed,1.15,ci,0.02973,0.3,7.64
17,0,12,-66.3424,252,2016-02-08T06:20:04.500Z,earthquake,2016-02-08T14:22:31.684Z,pr16039002,"101km N of Brenas, Puerto Rico",19.3815,3.5,pr,pr,Md,3.2,reviewed,7,pr,0.91628159,0.44,75
16,0,7,-64.594,280.8,2016-02-08T04:39:24.900Z,earthquake,2016-02-08T12:42:05.221Z,pr16039001,"49km N of Road Town, British Virgin Islands",18.86,3.3,pr,pr,Md,3,reviewed,6.5,pr,0.44017449,0.25,34
,,,-97.5813,64,2016-02-08T03:53:40.200Z,earthquake,2016-02-09T22:13:17.677Z,us20004ynm,"18km N of Crescent, Oklahoma",36.1162,2.8,tul,us,ml,1.3,reviewed,4.3,tul,,0.18,4.475
63,0.201,23,-123.4933333,28,2016-02-08T02:12:35.220Z,earthquake,2016-02-18T01:00:21.040Z,nc72590081,"20km SE of Willow Creek, California",40.7853333,2.99,nc,nc,ml,0.19,reviewed,0.36,nc,0.2023,0.14,21.27
,,,-153.0087,,2016-02-08T01:56:55.000Z,earthquake,2016-02-17T02:08:34.017Z,ak12779197,"27km WSW of Kodiak Station, Alaska",57.6434,2.6,ak,ak,ml,0.8,reviewed,0.4,ak,,0.52,54.7
6,0,5,-64.133,334.8,2016-02-08T01:54:56.100Z,earthquake,2016-02-18T05:23:21.040Z,pr16039000,"66km NE of Road Town, British Virgin Islands",18.805,3.1,pr,pr,Md,7.6,reviewed,9.4,pr,0.59827798,0.25,36
,,13,178.4025,197,2016-02-08T01:44:35.000Z,earthquake,2016-02-18T05:21:53.042Z,us200050r8,"14km SSW of Little Sitkin Island, Alaska",51.8375,3,ak,us,ml,18.3,reviewed,9.4,ak,,0.32,101
,,,-146.3651,,2016-02-08T01:42:50.000Z,earthquake,2016-02-18T00:57:22.040Z,ak12779176,"47km N of Valdez, Alaska",61.5547,3.8,ak,ak,ml,0.2,reviewed,0.3,ak,,0.63,26.7
,,,-98.1511,77,2016-02-08T01:42:31.700Z,earthquake,2016-02-18T05:18:56.601Z,us20004ymw,"23km W of Waukomis, Oklahoma",36.316,2.6,tul,us,ml,1,reviewed,3.3,tul,,0.25,6.622
,,,-98.2658,106,2016-02-08T01:39:45.300Z,earthquake,2016-02-18T05:12:29.227Z,us20004ymv,"10km SE of Cherokee, Oklahoma",36.6953,2.7,tul,us,ml,1.5,reviewed,5.8,tul,,0.46,4.751
,0.139,14,71.078,76,2016-02-08T01:15:35.260Z,earthquake,2016-02-18T05:09:29.580Z,us20004ymu,"49km NE of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",36.3944,4.1,us,us,mb,3.1,reviewed,6.2,us,0.833,1.18,124.61
,0.096,30,-178.082,138,2016-02-08T01:06:41.680Z,earthquake,2016-02-18T04:59:58.665Z,us20004zi2,"75km ENE of Ndoi Island, Fiji",-20.3022,4.1,us,us,mb,13.5,reviewed,6.7,us,4.454,0.64,535.32
,0.21,6,-68.9182,99,2016-02-08T01:02:05.830Z,earthquake,2016-02-18T04:53:08.257Z,us20004ymr,"138km ESE of Iquique, Chile",-20.6951,3.9,us,us,mb,3.4,reviewed,5.8,us,0.593,0.42,99.44
,0.137,16,70.2594,69,2016-02-08T00:33:08.370Z,earthquake,2016-02-08T08:35:36.103Z,us20004ymm,"36km E of Farkhar, Afghanistan",36.526,4.6,us,us,mb,6.2,reviewed,5.8,us,0.65,0.83,197.26
,0.228,5,-96.7336,100,2016-02-08T00:23:54.410Z,earthquake,2016-02-13T17:51:28.785Z,us20004ymh,"10km SSE of Cushing, Oklahoma",35.8963,2.7,us,us,mb_lg,1.5,reviewed,1.7,us,0.051,0.4,4.84
,0.096,34,-172.9393,103,2016-02-08T00:19:32.850Z,earthquake,2016-02-08T08:22:03.678Z,us20004ymi,"147km SE of Neiafu, Tonga",-19.5368,4.8,us,us,mb,11.2,reviewed,7,us,5.705,1.11,37.76
,,,-170.3645,,2016-02-07T23:57:09.000Z,earthquake,2016-02-15T22:21:57.647Z,ak12777341,"50km SSE of Yunaska Island, Alaska",52.2305,3.4,ak,ak,ml,1.3,reviewed,0.8,ak,,0.61,33.5
,0.169,10,97.8329,105,2016-02-07T23:40:01.490Z,earthquake,2016-02-08T07:42:41.390Z,us20004ymb,"47km NW of Agar, China",31.0847,4.3,us,us,mb,11.3,reviewed,2,us,7.611,0.61,10
,0.109,25,98.4026,80,2016-02-07T23:31:10.490Z,earthquake,2016-02-08T07:33:44.517Z,us20004ym9,"62km SSW of Cikai, China",27.2681,4.6,us,us,mb,11,reviewed,5.2,us,6.109,1.22,17.92
,0.139,15,123.4745,131,2016-02-07T20:45:40.810Z,earthquake,2016-02-08T04:48:31.247Z,us20004ylg,"51km ESE of Yonakuni, Japan",24.2903,4.5,us,us,mb,9.8,reviewed,7.4,us,0.457,0.98,46.63
,0.125,19,69.3151,142,2016-02-07T20:05:13.560Z,earthquake,2016-02-08T04:07:46.708Z,us20004yl9,Mid-Indian Ridge,-22.9784,4.5,us,us,mb,13.9,reviewed,1.9,us,12.715,1.13,10
,0.134,16,-178.6705,232,2016-02-07T18:59:46.040Z,earthquake,2016-02-08T03:02:27.856Z,us20004yky,"196km S of Ndoi Island, Fiji",-22.4237,4.4,us,us,mb,12.1,reviewed,23.8,us,5.58,1.02,611.01
,0.073,55,-178.3467,146,2016-02-07T18:22:45.020Z,earthquake,2016-02-08T02:25:27.609Z,us20004ykv,"42km ENE of Ndoi Island, Fiji",-20.4532,4.4,us,us,mb,15.9,reviewed,8.7,us,4.341,1.3,505.33
15,0,11,-65.1856,252,2016-02-07T16:55:14.800Z,earthquake,2016-02-08T00:57:59.640Z,pr16038010,"92km NNW of Charlotte Amalie, U.S. Virgin Islands",19.1445,2.9,pr,pr,Md,0.8,reviewed,13.6,pr,0.81746691,0.15,24
14,0,10,-65.1849,255.6,2016-02-07T16:44:15.200Z,earthquake,2016-02-07T18:30:22.811Z,pr16038006,"87km NNW of Charlotte Amalie, U.S. Virgin Islands",19.0939,3.1,pr,pr,Md,2.2,reviewed,6.3,pr,0.76895788,0.21,46
,0.057,80,-97.1826,62,2016-02-07T16:10:00.440Z,earthquake,2016-02-07T23:39:06.466Z,us20004yk6,"8km NE of Langston, Oklahoma",35.99,3.2,us,us,mb_lg,0.9,reviewed,2,us,0.205,0.33,5
,,,-149.4614,,2016-02-07T15:28:27.000Z,earthquake,2016-02-15T22:21:14.855Z,ak12768238,"24km ENE of Anchorage, Alaska",61.2882,2.5,ak,ak,ml,0.2,reviewed,0.4,ak,,0.48,25.1
,,,-151.3425,,2016-02-07T15:27:05.000Z,earthquake,2016-02-15T22:20:31.067Z,ak12768235,"79km NE of Kodiak, Alaska",58.2219,3.3,ak,ak,ml,0.7,reviewed,0.9,ak,,0.67,58.2
,,,-169.3466,,2016-02-07T15:09:44.000Z,earthquake,2016-02-15T22:21:37.916Z,ak12766444,"93km SSW of Nikolski, Alaska",52.1535,3.5,ak,ak,ml,1.7,reviewed,2.1,ak,,0.36,24.5
,,,-169.1943,,2016-02-07T14:54:01.000Z,earthquake,2016-02-15T22:24:05.086Z,ak12827692,"54km SSW of Nikolski, Alaska",52.4899,2.7,ak,ak,ml,4.9,reviewed,1.6,ak,,0.18,38.4
,0.311,3,70.3108,74,2016-02-07T14:16:56.810Z,earthquake,2016-02-07T22:19:30.858Z,us20004yjp,"40km E of Farkhar, Afghanistan",36.5279,4.5,us,us,mb,6.4,reviewed,6.3,us,0.633,0.55,205.91
13,0,11,-65.1745,259.2,2016-02-07T12:34:56.100Z,earthquake,2016-02-07T20:37:23.132Z,pr16038008,"95km NNW of Charlotte Amalie, U.S. Virgin Islands",19.1697,3.1,pr,pr,Md,2.2,reviewed,15.9,pr,0.83992479,0.28,30
,0.098,27,-97.2734,48,2016-02-07T12:20:34.610Z,earthquake,2016-02-07T20:23:03.146Z,us20004yiz,"17km S of Perry, Oklahoma",36.1361,2.6,us,us,mb_lg,0.7,reviewed,7.5,us,0.286,0.45,3.28
12,0,8,-65.244,252,2016-02-07T11:29:42.200Z,earthquake,2016-02-07T19:32:12.655Z,pr16038007,"84km N of Culebra, Puerto Rico",19.0636,3.1,pr,pr,Md,2,reviewed,6.8,pr,0.75278821,0.23,40
6,0,4,-64.6295,284.4,2016-02-07T11:26:44.000Z,earthquake,2016-02-07T18:30:01.100Z,pr16038005,"28km N of Road Town, British Virgin Islands",18.6749,2.9,pr,pr,Md,3.2,reviewed,3.5,pr,0.25691817,0.4,18
,,,-153.1715,,2016-02-07T10:36:50.000Z,earthquake,2016-02-15T22:20:53.124Z,ak12759323,"76km W of Anchor Point, Alaska",59.6858,2.7,ak,ak,ml,0.4,reviewed,0.4,ak,,0.43,112.7
,0.061,80,139.9827,112,2016-02-07T10:26:57.610Z,earthquake,2016-02-13T08:50:56.479Z,us20004yin,"1km S of Mitsukaido, Japan",36.0021,4.6,us,us,mb,6.1,reviewed,2,us,0.283,1.13,49.94
,,,-153.1341,,2016-02-07T07:34:24.000Z,earthquake,2016-02-15T23:07:55.285Z,ak12754023,"73km W of Anchor Point, Alaska",59.7568,3.3,ak,ak,ml,0.2,reviewed,0.2,ak,,0.61,104.5
,0.038,222,145.202,58,2016-02-07T07:25:39.880Z,earthquake,2016-02-07T14:18:50.180Z,us20004yi3,"7km S of Rota, Northern Mariana Islands",14.0863,5.1,us,us,mb,8,reviewed,5.4,us,0.59,0.73,90.75
,0.072,62,158.6616,36,2016-02-07T07:11:45.150Z,earthquake,2016-02-07T15:14:21.557Z,us20004yi0,"118km SSW of Dadali, Solomon Islands",-9.0514,5,us,us,mb,5,reviewed,1.8,us,1.326,0.79,10
,0.235,5,-67.1375,88,2016-02-07T07:08:48.130Z,earthquake,2016-02-07T15:11:19.197Z,us20004yhz,"83km W of San Antonio de los Cobres, Argentina",-24.1668,4.2,us,us,mb,7.1,reviewed,11,us,2.246,0.55,234.84
,,,-163.9452,,2016-02-07T06:41:22.000Z,earthquake,2016-02-15T22:22:29.000Z,ak12827652,"203km SE of Akutan, Alaska",52.6737,2.7,ak,ak,ml,3,reviewed,1.6,ak,,0.29,2.6
11,0,9,-66.7356,241.2,2016-02-07T05:23:01.100Z,earthquake,2016-02-07T13:26:15.482Z,pr16038003,"27km N of Arecibo, Puerto Rico",18.7245,2.7,pr,pr,Md,1.7,reviewed,6.7,pr,0.43747954,0.41,30
5,0,2,-66.7648,288,2016-02-07T03:52:27.200Z,earthquake,2016-02-07T11:54:53.458Z,pr16038002,"62km N of Hatillo, Puerto Rico",19.0499,2.8,pr,pr,Md,1.8,reviewed,22,pr,0.92077317,0.25,24
30,0.159,74,-117.7685,51,2016-02-07T03:47:36.460Z,earthquake,2016-02-08T17:54:37.130Z,ci37521248,"16km E of Coso Junction, California",36.0325,2.58,ci,ci,ml,0.16,reviewed,0.2,ci,0.007734,0.14,1.18
27,0.202,24,-115.321,165,2016-02-07T02:21:34.930Z,earthquake,2016-02-11T19:06:21.037Z,ci37521216,"14km WSW of Delta, B.C., MX",32.2891667,2.78,ci,ci,ml,0.53,reviewed,0.82,ci,0.1307,0.24,18.55
,0.038,65,-173.3999,41,2016-02-07T02:03:40.400Z,earthquake,2016-02-09T22:10:15.283Z,us20004yh2,"89km NNE of Hihifo, Tonga",-15.2157,5.8,us,us,mwb,5.1,reviewed,1.8,us,2.038,0.91,51
,0.054,101,140.516,128,2016-02-07T01:09:48.660Z,earthquake,2016-02-07T11:13:06.503Z,us20004ygs,"14km E of Daigo, Japan",36.7777,4.6,us,us,mb,6.1,reviewed,4.4,us,0.605,0.89,4.12
11,0,8,-67.739,298.8,2016-02-07T00:33:26.100Z,earthquake,2016-02-07T08:36:05.930Z,pr16038000,"57km WSW of Rincon, Puerto Rico",18.1107,3.1,pr,pr,Md,2.5,reviewed,1.7,pr,0.36741095,0.44,64
9,0,7,-66.7717,280.8,2016-02-07T00:05:23.400Z,earthquake,2016-02-07T08:07:50.672Z,pr16038001,"66km N of Hatillo, Puerto Rico",19.0893,2.8,pr,pr,Md,1.5,reviewed,4.8,pr,0.65038027,0.25,45
,0.05,67,-104.9659,64,2016-02-06T23:09:10.910Z,earthquake,2016-02-07T08:44:41.014Z,us20004yg7,"42km WSW of Trinidad, Colorado",37.0802,4,us,us,ml,3.1,reviewed,7.1,us,0.447,1.09,1.71
21,0,20,-66.7735,248.4,2016-02-06T22:49:06.200Z,earthquake,2016-02-07T06:52:07.848Z,pr16037008,"69km N of Hatillo, Puerto Rico",19.1152,3.2,pr,pr,Md,1.7,reviewed,5.3,pr,0.64139711,0.4,44
,0.123,19,153.5447,120,2016-02-06T22:23:42.460Z,earthquake,2016-02-07T06:26:22.286Z,us20004yfi,"56km E of Taron, Papua New Guinea",-4.4798,4.4,us,us,mb,14.2,reviewed,8.1,us,8.005,0.43,120.58
,0.05,103,-97.1811,31,2016-02-06T21:59:54.230Z,earthquake,2016-02-07T03:32:20.934Z,us20004yei,"7km ENE of Langston, Oklahoma",35.9823,3.5,us,us,mb_lg,1.5,reviewed,7.5,us,0.206,0.51,7.63
,0.098,27,-97.1912,56,2016-02-06T21:15:49.490Z,earthquake,2016-02-07T05:18:21.333Z,us20004ye9,"7km NE of Langston, Oklahoma",35.9818,2.6,us,us,mb_lg,1.2,reviewed,2,us,0.214,0.6,5
,0.111,21,-98.453,50,2016-02-06T21:08:02.660Z,earthquake,2016-02-07T05:10:45.465Z,us20004ye7,"14km SW of Cherokee, Oklahoma",36.6539,2.6,us,us,mb_lg,1.7,reviewed,2,us,0.213,0.45,5
,0.048,113,-97.765,30,2016-02-06T20:39:09.280Z,earthquake,2016-02-07T01:33:20.611Z,us20004ye0,"2km W of Medford, Oklahoma",36.8097,3.8,us,us,mb_lg,1.1,reviewed,6.1,us,0.014,0.36,4.35
,0.138,15,167.9247,62,2016-02-06T18:03:17.260Z,earthquake,2016-02-10T16:49:48.449Z,us20004zab,"94km E of Port-Olry, Vanuatu",-15.0001,4.4,us,us,mb,6.5,reviewed,8.1,us,0.826,1.19,34.97
,0.06,80,140.9807,52,2016-02-06T17:29:42.180Z,earthquake,2016-02-10T16:27:41.067Z,us20004yd8,"21km NNE of Date, Japan",42.6403,4.3,us,us,mb,6.6,reviewed,6.7,us,0.398,0.87,145.47
15,0,11,-64.455,295.2,2016-02-06T16:56:17.500Z,earthquake,2016-02-06T18:07:38.339Z,pr16037006,"56km NNE of Road Town, British Virgin Islands",18.9055,3.6,pr,pr,Md,3.8,reviewed,6.4,pr,0.50934477,0.34,44
5,0,3,-65.601,216,2016-02-06T16:53:08.700Z,earthquake,2016-02-07T00:55:38.503Z,pr16037007,"15km WSW of Esperanza, Puerto Rico",18.0268,2.6,pr,pr,Md,0.8,reviewed,1.1,pr,0.08354332,0.1,21
,0.065,61,-97.2844,47,2016-02-06T15:12:29.260Z,earthquake,2016-02-06T23:15:08.571Z,us20004yc5,"16km S of Perry, Oklahoma",36.1399,3,us,us,mb_lg,1.4,reviewed,7.4,us,0.296,0.41,4.19
,0.109,24,-177.6198,97,2016-02-06T12:55:57.250Z,earthquake,2016-02-06T20:58:30.185Z,us20004ybx,"238km NNE of Ndoi Island, Fiji",-18.7553,4.3,us,us,mb,14,reviewed,10.4,us,4.233,0.83,618.46
,0.1,19,-73.0611,50.4,2016-02-06T12:05:31.200Z,earthquake,2016-02-06T20:08:00.064Z,us20004ybp,"15km NNW of Aratoca, Colombia",6.8291,4.3,us,us,Mb,7.6,reviewed,11,us,1.42472804,1.05,147.6
,0.057,92,-89.5829,170,2016-02-06T10:12:10.440Z,earthquake,2016-02-06T18:14:50.090Z,us20004yb8,"33km WSW of La Libertad, El Salvador",13.3189,4.6,us,us,mb,7,reviewed,7.7,us,0.5,1.18,64.22
5,0,4,-65.224,306,2016-02-06T09:33:50.000Z,earthquake,2016-02-06T17:36:30.835Z,pr16037005,"94km N of Culebra, Puerto Rico",19.1539,2.9,pr,pr,Md,2.4,reviewed,8.8,pr,0.83812816,0.11,40
,0.056,83,-97.1855,56,2016-02-06T09:19:18.380Z,earthquake,2016-02-06T14:04:37.825Z,us20004yb3,"7km ENE of Langston, Oklahoma",35.9814,3.2,us,us,mb_lg,1,reviewed,2,us,0.21,0.52,5
,0.068,56,-97.1891,64,2016-02-06T09:13:47.720Z,earthquake,2016-02-07T04:14:45.796Z,us20004yb1,"7km ENE of Langston, Oklahoma",35.9797,2.9,us,us,mb_lg,0.8,reviewed,2,us,0.213,0.54,5
,0.252,4,30.74,114,2016-02-06T09:00:09.880Z,earthquake,2016-02-09T01:16:32.282Z,us20004ylw,"28km NNE of Mpumalanga, South Africa",-29.5745,3.7,us,us,mb,12.4,reviewed,2,us,4.894,0.51,10
22,0,19,-66.4714,212.4,2016-02-06T09:00:03.600Z,earthquake,2016-02-06T17:04:15.887Z,pr16037004,"23km N of Tierras Nuevas Poniente, Puerto Rico",18.677,3.1,pr,pr,Md,0.7,reviewed,1.3,pr,0.20661252,0.18,27
29,0.088,19,-124.6306667,243,2016-02-06T06:49:55.070Z,earthquake,2016-02-08T23:05:06.550Z,nc72589381,"41km SW of Ferndale, California",40.3301667,2.71,nc,nc,md,0.51,reviewed,0.77,nc,0.2649,0.14,22.97
4,0,2,-67.4402,331.2,2016-02-06T06:45:32.000Z,earthquake,2016-02-06T14:48:12.008Z,pr16037003,"56km NW of San Antonio, Puerto Rico",18.8885,2.7,pr,pr,Md,4.3,reviewed,11.3,pr,0.78422924,0.2,44
,0.101,29,-74.497,106,2016-02-06T06:20:22.360Z,earthquake,2016-02-06T14:22:51.485Z,us20004yaj,"61km SSE of Campoverde, Peru",-8.9421,4.6,us,us,mb,8.5,reviewed,5.4,us,2.143,0.84,149.63
,0.05,129,174.9773,69,2016-02-06T04:51:35.900Z,earthquake,2016-02-06T12:54:02.692Z,us20004y9m,"266km WNW of Nadi, Fiji",-17.2414,5.1,us,us,mb,9.5,reviewed,1.9,us,2.977,1.08,10
36,0.14,15,-155.6273333,147,2016-02-06T04:14:25.650Z,earthquake,2016-02-11T21:18:51.041Z,hv61170916,"25km E of Honaunau-Napoopoo, Hawaii",19.4268333,2.64,hv,hv,ml,0.34,reviewed,0.52,hv,0.02396,0.12,3.662
,0.17,10,97.0833,176,2016-02-06T02:28:11.990Z,earthquake,2016-02-06T10:31:16.939Z,us20004y9c,"82km ESE of Sinabang, Indonesia",2.2373,4.4,us,us,mb,10.8,reviewed,13.8,us,1.049,0.31,41.85
12,0,6,-66.5385,280.8,2016-02-06T02:07:35.500Z,earthquake,2016-02-06T10:10:10.141Z,pr16037002,"94km N of Tierras Nuevas Poniente, Puerto Rico",19.315,3.3,pr,pr,Md,6.4,reviewed,12.7,pr,0.98365524,0.43,18
,0.047,157,174.9465,46,2016-02-06T01:39:18.300Z,earthquake,2016-02-10T02:59:49.000Z,us20004y98,"276km WNW of Nadi, Fiji",-17.0008,5.5,us,us,mb,7.2,reviewed,1.7,us,3.057,0.79,10
3,0,2,-65.639,291.6,2016-02-06T00:57:01.200Z,earthquake,2016-02-06T08:59:44.985Z,pr16037001,"28km ESE of Emajagua, Puerto Rico",17.8829,2.5,pr,pr,Md,1.5,reviewed,1,pr,0.22727377,0.17,13
,0.043,71,-112.7502,50,2016-02-06T00:33:05.410Z,earthquake,2016-02-08T18:07:21.916Z,us20004y95,"23km WNW of Kanab, Utah",37.1653,2.5,us,us,ml,2,reviewed,2,us,0.159,0.92,5
19,0.172,6,-112.7431667,61,2016-02-06T00:33:04.420Z,earthquake,2016-02-08T18:06:57.673Z,uu60139607,"22km WNW of Kanab, Utah",37.1468333,2.77,uu,uu,ml,0.27,reviewed,0.8,uu,0.144,0.12,17.96
5,0,4,-64.5463,280.8,2016-02-06T00:18:55.700Z,earthquake,2016-02-06T08:21:33.703Z,pr16037000,"24km SSE of Road Town, British Virgin Islands",18.2047,3.3,pr,pr,Md,5.5,reviewed,1.5,pr,0.22098556,0.1,104
,0.361,2,-97.7976,48,2016-02-05T23:06:16.870Z,earthquake,2016-02-06T00:36:45.581Z,us20004y81,"19km NNE of Enid, Oklahoma",36.5542,2.6,us,us,mb_lg,1.3,reviewed,7,us,0.157,0.48,5.47
,0.055,100,25.8226,52,2016-02-05T23:01:26.790Z,earthquake,2016-02-06T01:09:26.905Z,us20004y80,"19km SSE of Ierapetra, Greece",34.8534,4.7,us,us,mb,7.4,reviewed,1.9,us,1.543,1.23,10
12,,7,178.4332,172.799986176001,2016-02-05T22:44:17.000Z,earthquake,2016-02-15T18:38:52.218Z,ak12798741,"54km N of Little Sitkin Island, Alaska",52.4345,3.2,ak,ak,ml,16,reviewed,7,ak,1.785851,0.58,107.9
51,,,-152.5473,107.999991360001,2016-02-05T22:39:10.000Z,earthquake,2016-02-15T18:41:30.096Z,ak12714229,"62km SW of Anchor Point, Alaska",59.3454,2.5,ak,ak,ml,0.3,reviewed,0.3,ak,,0.57,79.2
32,0.122,96,-122.2915,40,2016-02-05T22:13:02.370Z,earthquake,2016-02-06T04:03:32.800Z,uw61107312,"0km WSW of Lakeland South, Washington",47.2761667,2.57,uw,uw,ml,0.52,reviewed,0.76,uw,0.05533,0.3,24.763
3,0,3,-65.7334,316.8,2016-02-05T21:23:08.300Z,earthquake,2016-02-06T05:25:44.703Z,pr16036009,"65km N of Vieques, Puerto Rico",19.01,3,pr,pr,Md,2.2,reviewed,13.9,pr,0.74200842,0.18,30
,0.068,63,139.5278,67,2016-02-05T21:22:52.770Z,earthquake,2016-02-07T04:32:55.692Z,us20004y79,"8km W of Nikko, Japan",36.7373,4.4,us,us,mb,6,reviewed,6.7,us,0.735,0.79,114.2
67,,,-153.6669,61.1999951040004,2016-02-05T20:49:47.000Z,earthquake,2016-02-15T18:41:27.605Z,ak12711030,"68km E of Old Iliamna, Alaska",59.6487,2.7,ak,ak,ml,0.3,reviewed,0.3,ak,,0.77,128.5
,0.106,29,96.996,115,2016-02-05T20:31:06.310Z,earthquake,2016-02-09T21:49:21.969Z,us20004z2a,"231km WNW of Sikabaluan, Indonesia",-0.5469,4.5,us,us,mb,7.5,reviewed,5.3,us,1.927,1.15,29.51
16,,11,-163.7506,219.599982432001,2016-02-05T20:29:49.000Z,earthquake,2016-02-15T18:40:03.277Z,ak12710967,"111km SSW of False Pass, Alaska",53.864,3,ak,ak,ml,3,reviewed,5,ak,0.7788394,0.55,54
,0.061,87,141.6224,30,2016-02-05T20:11:08.950Z,earthquake,2016-02-09T21:30:17.077Z,us20004y6q,"94km NNE of Kiunga, Papua New Guinea",-5.3383,5.1,us,us,mb,6.4,reviewed,3.7,us,2.95,1.01,10.22
118,,,-149.7673,14.3999988480001,2016-02-05T20:05:15.000Z,earthquake,2016-02-15T18:41:26.658Z,ak12709393,"56km SW of Cantwell, Alaska",63.0301,3.4,ak,ak,ml,0.2,reviewed,0.4,ak,,0.67,88.3
9,0,6,-67.1806,133.2,2016-02-05T19:57:31.200Z,earthquake,2016-02-09T20:21:08.040Z,pr16036008,"5km NW of Mayaguez, Puerto Rico",18.2334,2.9,pr,pr,Md,2.8,reviewed,2.5,pr,0.1060012,0.43,80
,,,120.5928,14,2016-02-05T19:57:27.390Z,earthquake,2016-02-17T06:19:31.522Z,us20004y6h,"24km SSE of Yujing, Taiwan",22.9387,6.4,us,us,mww,4.7,reviewed,1.7,us,0.361,1.21,23
,0.154,13,-179.5494,284,2016-02-05T19:53:23.730Z,earthquake,2016-02-09T19:09:08.301Z,us20004z27,"249km SSW of Ndoi Island, Fiji",-22.7577,4.3,us,us,mb,25.4,reviewed,23.4,us,12.008,0.88,515.34
87,0.228,25,-118.3511667,69,2016-02-05T19:13:59.210Z,earthquake,2016-02-12T05:39:06.609Z,ci37520776,"2km S of Rolling Hills, California",33.738,2.71,ci,ci,ml,0.24,reviewed,0.39,ci,0.01353,0.27,9.6
,0.084,41,157.7938,85,2016-02-05T19:02:33.440Z,earthquake,2016-02-09T18:56:47.898Z,us20004z22,"40km WNW of Yelizovo, Russia",53.2657,4.4,us,us,mb,8.5,reviewed,5,us,0.167,0.85,171.51
,0.105,29,153.7612,107,2016-02-05T18:44:56.370Z,earthquake,2016-02-09T18:38:05.338Z,us20004z21,"80km E of Taron, Papua New Guinea",-4.4965,4.6,us,us,mb,8.6,reviewed,7.8,us,1.621,0.74,79.35
